_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
townsra01,20-Dec-55,"San Jose, California",1.4,41.1,17.1,70.3,154,9.8,4.8,1,1,41.5,"University of California, Los Angeles",22nd overall,1st round,Golden State Warriors,1978,3-Jun,"Camden in San Jose, California",Raymond Townsend,Shooting Guard,Right,175lb
tylerte01,30-Oct-56,"Detroit, Michigan",1.2,48.4,12.2,70.3,871,14.6,10.2,5.4,40.8,48.5,University of Detroit Mercy,23rd overall,2nd round,Detroit Pistons,1978,7-Jun,"Northwestern in Detroit, Michigan",Terry Tyler,Power Forward and Small Forward,Right,215lb
vromabr01,25-Dec-55,"Hollywood, California",0.8,37,0,73.7,11,11.8,3.1,2.3,0.1,37,"University of California, Los Angeles, University of Nevada, Las Vegas",87th overall,4th round,Philadelphia 76ers,1978,Jul-00,"Provo in Provo, Utah",Brett Vroman,Center,Right,220lb
wakefan01,11-Jan-55,"Chicago, Illinois",0.9,35.4,-,70.8,81,4.4,2.3,1,-1.1,35.4,Loyola University of Chicago,107th overall,5th round,Phoenix Suns,1978,3-Jun,"Crane Technical Preparatory in Chicago, Illinois",Andre Wakefield,Shooting Guard,Right,175lb
whiteje01,30-Sep-56,"Waukegan, Illinois",0.6,49.7,0,71.8,679,12,6.5,4.8,16.4,49.7,Marquette University,41st overall,2nd round,San Diego Clippers,1978,10-Jun,"Waukegan in Waukegan, Illinois",Jerome Whitehead,Center,Right,220lb
willidu01,2-Aug-56,"Demopolis, Alabama",2.4,44.7,0,70,77,8.6,6.6,1.4,-0.3,44.7,University of Notre Dame,96th overall,5th round,New Orleans Jazz,1978,2-Jun,"Mackin in Washington, District of Columbia",Duck Williams,Point Guard,Right,180lb
willifr01,15-May-56,"Los Angeles, California",1.6,46.7,33.1,82.4,323,17.9,14.7,1.6,10,48.2,Portland State University,8th overall,1st round,Boston Celtics,1978,4-Jun,"Manual Arts in Los Angeles, California",Freeman Williams,Shooting Guard,Right,190lb
williri01,12-Mar-57,"Buffalo, New York",0.8,41.5,0,66,44,9.6,3.3,0.9,-0.1,41.5,"University of New Mexico, California State University, Long Beach",190th overall,10th round,New Orleans Jazz,1978,1-Jun,"Bishop Timon in Buffalo, New York",Rickey Williams,Shooting Guard,Right,175lb
wilsobu01,7-Aug-55,"Gastonia, North Carolina",0.8,28,-,50,16,2.1,1.1,1,-0.2,28,Western Carolina University,101st overall,5th round,Golden State Warriors,1978,3-Jun,"Hunter Huss in Gastonia, North Carolina",Bubba Wilson,Shooting Guard,Right,175lb
wilsori01,7-Feb-56,"Louisville, Kentucky",1.3,39.3,-,56,66,9,2.9,1.2,0.2,39.3,University of Louisville,25th overall,2nd round,Atlanta Hawks,1978,5-Jun,"Atherton in Louisville, Kentucky",Rick Wilson,Shooting Guard,Right,200lb
baileja01,21-May-57,"Dublin, Georgia",0.8,48.4,7.7,70.3,595,13,8.8,5,16.3,48.4,Rutgers University,6th overall,1st round,Seattle SuperSonics,1979,9-Jun,"Xaverian in Westwood, Massachusetts",James Bailey,Power Forward,Right,220lb
bradldu01,19-Mar-57,"Baltimore, Maryland",1.9,44,29.3,73,600,12,5.2,1.8,16.5,45.8,University of North Carolina,13th overall,1st round,Indiana Pacers,1979,6-Jun,"Edgewood in Edgewood, Maryland",Dudley Bradley,Shooting Guard,Right,195lb
cartere01,10-Oct-57,"New York, New York",1.5,38.8,0,77.2,135,9.1,3.5,1.2,0.4,38.8,"University of Hawaii, St. John's University",27th overall,2nd round,New York Knicks,1979,3-Jun,"Long Island Lutheran in Brookville, New York",Reggie Carter,Shooting Guard,Right,175lb
cartwbi01,30-Jul-57,"Lodi, California",1.4,52.5,0,77.1,963,15.2,13.2,6.3,72.8,52.5,University of San Francisco,3rd overall,1st round,New York Knicks,1979,1-Jul,"Elk Grove in Elk Grove, California",Bill Cartwright,Center,Right,245lb
crosbte01,4-Jan-57,"Toledo, Ohio",1.8,50,-,100,4,3.5,1.5,0.3,0,50,University of Tennessee,62nd overall,3rd round,Kansas City Kings,1979,4-Jun,"DeVilbiss in Toledo, Ohio",Terry Crosby,Point Guard,Right,195lb
curetea01,3-Sep-57,"Detroit, Michigan",1,47.3,0,53.8,674,10.4,5.4,4.7,14.4,47.3,"Robert Morris University (PA), University of Detroit Mercy",58th overall,3rd round,Philadelphia 76ers,1979,9-Jun,"Finney in Detroit, Michigan",Earl Cureton,Center and Power Forward,Right,210lb
